location,iso_code,corruption_control,cpi,governament_effectiveness,healthcare_expenditure,number_of_arrivals,political_regime,trust_in_governance,government_type,wave,population,population_density,median_age,gdp_per_capita,new_cases,new_deaths,new_tests,icu_patients,new_vaccinations
Luxembourg,LUX,2.112312,80,1.733296,5220.868,1041000.0,3,78.0171007884326,1,4,634814.0,231.447,39.7,94277.965,18751.0,66.0,321736.0,862.0,197802.0
Mexico,MEX,-0.8269345,29,-0.156787,1116.032,97406000.0,2,49.5231159478194,5,1,130262220.0,66.444,29.3,17336.469,226089.0,27769.0,609690.0,0.0,0.0
Mexico,MEX,-0.8269345,29,-0.156787,1116.032,97406000.0,2,49.5231159478194,5,2,130262220.0,66.444,29.3,17336.469,826534.0,61393.0,2067738.0,0.0,18174.0
Mexico,MEX,-0.8269345,29,-0.156787,1116.032,97406000.0,2,49.5231159478194,5,3,130262220.0,66.444,29.3,17336.469,655009.0,70239.0,2639905.0,0.0,40234838.0
Mexico,MEX,-0.8269345,29,-0.156787,1116.032,97406000.0,2,49.5231159478194,5,4,130262220.0,66.444,29.3,17336.469,566577.0,37395.0,1887927.0,0.0,36845252.0
Netherlands,NLD,1.906103,82,1.803272,5538.095,20129000.0,3,61.6572239633327,1,1,17173094.0,508.544,43.2,48472.545,50483.0,6132.0,252815.0,60947.0,0.0
Netherlands,NLD,1.906103,82,1.803272,5538.095,20129000.0,3,61.6572239633327,1,2,17173094.0,508.544,43.2,48472.545,735150.0,5273.0,5031241.0,46782.0,0.0
Netherlands,NLD,1.906103,82,1.803272,5538.095,20129000.0,3,61.6572239633327,1,3,17173094.0,508.544,43.2,48472.545,720672.0,3920.0,6990484.0,85818.0,15622325.0
Netherlands,NLD,1.906103,82,1.803272,5538.095,20129000.0,3,61.6572239633327,1,4,17173094.0,508.544,43.2,48472.545,972605.0,2303.0,4890494.0,25669.0,0.0
New Zealand,NZL,2.170174,87,1.670557,4058.746,3888000.0,3,67.5200840959097,1,1,5122600.0,18.206,37.9,36085.843,1528.0,22.0,396217.0,0.0,0.0
New Zealand,NZL,2.170174,87,1.670557,4058.746,3888000.0,3,67.5200840959097,1,2,5122600.0,18.206,37.9,36085.843,410.0,3.0,532334.0,0.0,0.0
New Zealand,NZL,2.170174,87,1.670557,4058.746,3888000.0,3,67.5200840959097,1,3,5122600.0,18.206,37.9,36085.843,439.0,1.0,533860.0,0.0,1175678.0
New Zealand,NZL,2.170174,87,1.670557,4058.746,3888000.0,3,67.5200840959097,1,4,5122600.0,18.206,37.9,36085.843,9575.0,21.0,1500550.0,0.0,4403018.0
Norway,NOR,2.073593,84,1.861935,6536.761,5879000.0,3,59.7987006273954,1,1,5465629.0,14.462,39.7,64800.057,8879.0,250.0,273637.0,0.0,0.0
Norway,NOR,2.073593,84,1.861935,6536.761,5879000.0,3,59.7987006273954,1,2,5465629.0,14.462,39.7,64800.057,38785.0,172.0,1972821.0,0.0,2396.0
Norway,NOR,2.073593,84,1.861935,6536.761,5879000.0,3,59.7987006273954,1,3,5465629.0,14.462,39.7,64800.057,68350.0,230.0,2835028.0,0.0,4115276.0
Norway,NOR,2.073593,84,1.861935,6536.761,5879000.0,3,59.7987006273954,1,4,5465629.0,14.462,39.7,64800.057,168573.0,327.0,1636129.0,0.0,2218849.0
Poland,POL,0.6421292,58,0.534801,2122.841,88515000.0,2,49.7986028419138,4,1,37797000.0,124.027,41.8,27216.445,34393.0,1463.0,1074523.0,0.0,0.0
Poland,POL,0.6421292,58,0.534801,2122.841,88515000.0,2,49.7986028419138,4,2,37797000.0,124.027,41.8,27216.445,1227506.0,26515.0,4341933.0,0.0,45600.0
Poland,POL,0.6421292,58,0.534801,2122.841,88515000.0,2,49.7986028419138,4,3,37797000.0,124.027,41.8,27216.445,1366527.0,37841.0,8608870.0,0.0,18815664.0
